code,description
T2SCH411,Saskatchewan Corporation Tax Calculation
RC243-SCH-A,Schedule A - Excess TFSA Amounts
RC243-SCH-B,Schedule B - Non-Resident Contributions to a Tax-Free Savings Account (TFSA)
RC243,Tax-Free Savings Account (TFSA) Return
RC343,Worksheet - TFSA contribution room
RC378,Access to Information and Personal Information Request Form
RC364-CA,Application to Register a Pooled Pension Plan
T657,Calculation of Capital Gains Deduction for 2024
T2SCH6,Summary of Dispositions of Capital Property
T2SCH430,British Columbia Shipbuilding and Ship Repair Industry Tax Credit (2019 and later tax years)
T3SCH1A,Capital Gains on Gifts of Certain Capital Property
T3SCH3,Eligible Taxable Capital Gains
T3SCH9,Income Allocations and Designations to Beneficiaries
T24EOT,Joint Election for Capital Gains Deduction in Respect of a Qualifying Business Transfer
T3SCH12,Minimum Tax
T3SCH10,Part XII.2 Tax and Part XIII Non-Resident Withholding Tax
T2203,Provincial and Territorial Taxes for Multiple Jurisdictions
T1236,Qualified Donees Worksheet / Amounts provided to other organizations
T2048,Capital Gains Deduction for Qualifying Business Transfers
T2066,Election for Immediate or Gradual Intergenerational Business Transfer
RC365,Pooled Registered Pension Plan Amendment Information
RC365-CA,Pooled Registered Pension Plan Amendment Information
RC368,Pooled Registered Pension Plan Annual Information Return
RC368-CA,Pooled Registered Pension Plan Annual Information Return
T691,Alternative Minimum Tax
T184,Capital Gains Refund to a Mutual Fund Trust
T2SCH349,Nova Scotia Innovation Equity Tax Credit (2024 and later tax years)
T3ON,Ontario Tax
T2036,Provincial or Territorial Foreign Tax Credit
T776,Statement of Real Estate Rentals
T1055,Summary of Deemed Dispositions (2002 and later tax years)
RC580,Additional Information for CPP Validation and Verification Programs – For employers
T3SCH15,Beneficial Ownership Information of a Trust
RC7259,Business Consent for Certain Selected Listed Financial Institutions
RC7259X,Cancel Business Consent or Delegated Authority for Certain Selected Listed Financial Institutions
T2125,Statement of Business or Professional Activities
T1079,Designation of a Property as a Principal Residence by a Personal Trust
T1079WS,Principal Residence Worksheet
T1A,Request for Loss Carryback
T1198,Statement of Qualifying Retroactive Lump-Sum Payment
T3RET,T3 Trust Income Tax and Information Return
T936,"Calculation of Cumulative Net Investment Loss (CNIL) to December 31, 2024"
T3SCH8,"Investment Income, Carrying Charges, and Gross-up Amount of Dividends Retained by the Trust"
T1156,Part II.2 Tax Return for Partnerships
T3A,Request for Loss Carryback by a Trust
T1212,Statement of Deferred Security Options Benefits
T2017,Summary of Reserves on Dispositions of Capital Property
RC728-SCH-A,"Schedule A, 2024 Excess FHSA Amounts"
T2WS1,Calculating your estimated tax payable and tax credits for 2025
T2WS2,Calculating your monthly instalment payments for 2025
T2WS3,Calculating your quarterly instalment payments for 2025
T3SCH11,Federal Income Tax
T3SCH11A,Donations and Gifts Tax Credit Calculation
T3S,Supplementary Unemployment Benefit Plan Income Tax Return
T2SCH151,Investment Revenue From Designated Insurance Property for Insurance Companies (2023 and later tax years)
RC375,Notice of Objection (QST) for Selected Listed Financial Institutions
T2SCH350,Nova Scotia Venture Capital Tax Credit (2024 and later tax years)
T2011,Registered Pension Plan Change of Information
T2014,Request for a Priority Review of a Registered Pension Plan
RC435,Rollover from a Registered Education Savings Plan to a Registered Disability Savings Plan
T2SCH150,Net Income (loss) for Income Tax Purposes for Life Insurance Companies (2023 and later tax years)
T1136-WS,Old Age Security Return of Income (OASRI) Worksheet
5000-S3,Schedule 3 - Capital Gains or Losses (for all)
T737-RCASUM,Summary of Contributions Paid to a Custodian of a Retirement Compensation Arrangement (RCA)
T5013SCH6,Summary of Dispositions of Capital Property - Schedule 6
TD1SK-WS,Worksheet for the 2025 Saskatchewan Personal Tax Credits Return
5000-D1,Federal Worksheet (for all except non-residents)
5013-D1,Federal Worksheet for Non-Residents and Deemed Residents of Canada
5010-R,Income Tax and Benefit Return (for BC only)
5001-R,Income Tax and Benefit Return (for NL only)
5015-R,"Income Tax and Benefit Return (for NS, NB, AB, MB and SK only)"
5012-R,Income Tax and Benefit Return (for NT only)
5014-R,Income Tax and Benefit Return (for NU only)
5006-R,Income Tax and Benefit Return (for ON only)
5002-R,Income Tax and Benefit Return (for PE)
5005-R,Income Tax and Benefit Return (for QC only)
5011-R,Income Tax and Benefit Return (for YT only)
T1237,Saskatchewan Farm and Small Business Capital Gains Tax Credit
T2SCH5,Tax Calculation Supplementary - Corporations (2024 and later tax years)
T1206,Tax on Split Income Information - 2024
INNS3,Instalment Remittance Voucher
T3SCH2,Reserves on Dispositions of Capital Property
T3GR-WS,"Worksheet for Part XI.1 Tax on Non-Qualified Property of an RRSP, RRIF, or RESP trust"
T1196,British Columbia Film and Television Tax Credit
T2121,Statement of Fishing Activities
T3AB,Alberta Tax
T3BC,British Columbia Tax
T1098,Clean technology Investment Tax Credit
T3SCH4,Cumulative Net Investment Loss
T2228,Election on Specified Pre-regime Loss
T2229,Election to Forgo a Foreign Accrual Property Loss Under Clause 95(2)(f.11)(ii)(E)
T2226,Election to Transfer Cumulative Unused Excess Capacity under Subsection 18.2(4)
T2225,Group Ratio Rules Election Under Subsection 18.21(2) and Fair Value Adjustments Election Under Subsection 18.21(4)
T3QDT,Joint Election for a Trust to be a Qualified Disability Trust
T3MB,Manitoba Tax
T3NB-SBI,New Brunswick Small Business Investor Tax Credit
T3NB,New Brunswick Tax
T3NL,Newfoundland and Labrador Tax
T3NT,Northwest Territories Tax
T3NS,Nova Scotia Tax
T3NU,Nunavut Tax
T3SCH7,Pension Income Allocations and Designations
T3PE,Prince Edward Island Tax
T3QDT-WS,Recovery Tax Worksheet
T2043,Return of Fuel Charge Proceeds to Farmers Tax Credit
T3SK,Saskatchewan Tax
T1273,Statement A - Harmonized AgriStability and AgriInvest Programs Information and Statement of Farming Activities for Individuals
T3-ADJ,T3 Adjustment Request
T2224,Transitional Election Under the Excessive Interest and Financing Expenses Limitation Rules
T2SCH444,Yukon Business Carbon Price Rebate (2024 and later tax years)
T3YT,Yukon Tax
T3SCH1,Dispositions of Capital Property
T2SCH130,Excessive Interest and Financing Expenses Limitation (2023 and later tax years)
T2227,Excluded Interest Election Under Subsection 18.2(1)
T5013SCH130,Partnership Interest and Financing Expenses and Interest and Financing Revenues
T2042,Statement of Farming Activities
RC728,2024 First Home Savings Account (FHSA) Return
T3ATH-IND,Amateur Athlete Trust Income Tax Return
T1061,Canadian Amateur Athlete Trust Group Information Return
T3P,Employees' Pension Plan Income Tax Return
T3M,Environmental Trust Income Tax Return
T3GR,"Group Income Tax and Information Return for RRSP, RRIF, RESP, or RDSP Trusts"
T3RI,Registered Investment Income Tax Return
T1164,Statement B - AgriStability and AgriInvest Programs Information and Statement of Farming Activities for Additional Farming Operations
T3PRP,T3 Pooled Registered Pension Plan Tax Return
T3D,T3D Income Tax Return for Deferred Profit Sharing Plan (DPSP) or Revoked DPSP
RC720,Transfer from your RRSP to your FHSA
NR73,Determination of Residency Status (leaving Canada)
T5013FIN,Partnership Financial Return
AGR-1SUM,Return of Farm-Support Payment
AGR-1,Statement of Farm-Support Payments
AGR-1-LEGAL,Statement of Farm-Support Payments - Legal Size
T2000,Calculation of Tax on Agreements to Acquire Shares (subsection 207.1(5) of the Income Tax Act)
T2,Corporation Income Tax Return
T4FHSA,First Home Savings Account Statement
RC322,AgriInvest Adjustment Request
T1197,British Columbia Production Services Tax Credit (2024 and later tax years)
T2SCH56,Part II.2 Tax on Repurchases of Equity
T1175,2024 Farming - Calculation of Capital Cost Allowance (CCA) and Business-use-of-home Expenses
T1275,AgriStability and AgriInvest Programs Additional Information and Adjustment Request
L1,Application for a Brewer's Licence
L63T,"Application for a Tobacco Licence, a Tobacco Dealer Licence, or a Duty Free Shop Licence"
L63A,Application for an Alcohol Licence or Registration
L63W,Application for an Excise Warehouse Licence or a Special Excise Warehouse Licence
CPT16,Application to Exempt Self-Employed Earnings from the Canada Pension Plan for Religious Reasons
T2SCH421,British Columbia Mining Exploration Tax Credit
L300,"Cannabis Licence Application under the Excise Act, 2001"
NR74,Determination of Residency Status (entering Canada)
T1139,Reconciliation of 2024 Business Income for Tax Purposes
L300SCHB,"Schedule B - Information Relating to Individuals, Partners, Directors, Officers or Shareholders (to support a Cannabis Licence Application)"
L600-B,"Schedule B – Information Relating to Individuals, Partners, Directors, Officers, or Shareholders"
T1163,Statement A - AgriStability and AgriInvest Programs Information and Statement of Farming Activities for Individuals
T1274,Statement B - Harmonized AgriStability and AgriInvest Programs Information and Statement of Farming Activities for Additional Farming Operations
T3FFT,T3 Federal Foreign Tax Credits for Trusts
L603,Vaping Prescribed Person Application
L600,Vaping Product Licence Application
GST523-1,Non-profit Organizations - Government Funding
E676,Notice of Objection (Air Travellers Security Charge Act)
5000-S7,"Schedule 7 - RRSP, PRPP, and SPP Contributions and Transfers, and HBP and LLP Activities (for all)"
5009-C,AB428 - Alberta Tax and Credits
T89,Alberta Stock Savings Plan Tax Credit
5010-C,BC428 - British Columbia Tax
5010-TC,BC479 - British Columbia Credits
T1356,British Columbia Clean Buildings Tax Credit
T88,British Columbia Mining Exploration Tax Credit (Individuals)
T1231,British Columbia Mining Flow-Through Share Tax Credit
T1014-2,British Columbia Shipbuilding and Ship Repair Industry Tax Credit (Employers)
T1014-1,British Columbia Training Tax Credit (Employers)
T1014,British Columbia Training Tax Credit (Individuals)
T1170,Capital Gains on Gifts of Certain Capital Property
T778,Child Care Expenses Deduction for 2024
TL2,Claim for Meals and Lodging Expenses
T1223,Clergy Residence Deduction
T2200,Declaration of Conditions of Employment
T2091IND,Designation of a Property as a Principal Residence by an Individual (Other Than a Personal Trust)
T1255,Designation of a Property as a Principal Residence by the Legal Representative of a Deceased Individual
T929,Disability Supports Deduction
T1157,Election For Child Support Payments
CPT20,Election to Pay Canada Pension Plan Contributions
RC269,Employee Contributions to a Foreign Pension Plan or Social Security Arrangement for Non-United States Plans or Arrangements
RC268,Employee Contributions to a United States Retirement Plan for Cross-Border Commuters
RC267,Employee Contributions to a United States Retirement Plan for Temporary Assignments
T2204,Employee Overpayment of Employment Insurance Premiums
T2209,Federal Foreign Tax Credits
5008-TC,Form SK479 - Saskatchewan Credit
T90,Income Exempt From Tax Under the Indian Act
T1159,Income Tax Return for Electing Under Section 216
RC381,Inter-Provincial Calculation for CPP and QPP Contributions and Overpayments
T2038-IND,Investment Tax Credit (Individuals)
T1032,Joint Election to Split Pension Income
5007-C,MB428 - Manitoba Tax
5007-TC,MB479 - Manitoba Credits
T1299,Manitoba Book Publishing Tax Credit (Individuals)
T1256,Manitoba Community Enterprise Development Tax Credit
T1256-2,Manitoba Employee Share Purchase Tax Credit
T1294,Manitoba Green Energy Equipment Tax Credit
T1241,Manitoba Mineral Exploration Tax Credit
T1256-1,Manitoba Small Business Venture Capital Tax Credit (Individuals)
T1-M,Moving Expenses Deduction
5004-C,NB428 - New Brunswick Tax and Credits
5001-C,NL428 - Newfoundland and Labrador Tax
5003-C,NS428 - Nova Scotia Tax
5003-TC,NS479 - Nova Scotia Credits
5012-C,NT428 - Northwest Territories Tax
5012-TC,NT479 - Northwest Territories Credit
5014-C,NU428 - Nunavut Tax
5014-TC,NU479 - Nunavut Credits
T1258,New Brunswick Small Business Investor Tax Credit
T1129,Newfoundland and Labrador Research and Development Tax Credit (Individuals)
T1297,Newfoundland and Labrador Resort Property Investment Tax Credit (Individuals)
T2222,Northern Residents Deductions
RC4111,Notify the Canada Revenue Agency of a Death
T1285,Nova Scotia Equity Tax Credit
T225,Nova Scotia Innovation Equity Tax Credit
T224,Nova Scotia Venture Capital Tax Credit
5006-TG,ON-BEN Application for the 2025 Ontario Trillium Benefit and Ontario Senior Homeowners' Property Tax Grant
5006-C,ON428 - Ontario Tax
5006-TC,ON479 - Ontario Credits
T1136,Old Age Security Return of Income (OASRI)
T1221,Ontario Focused Flow-Through Share Resource Expenses (Individuals)
5002-C,PE428 - Prince Edward Island Tax and Credits
T1262,Part XIII.2 Tax Return for Non-Resident's Investments in Canadian Mutual Funds
T1158,Registration of Family Support Payments
5008-C,SK428 - Saskatchewan Tax
RC360,Saskatchewan Graduate Retention Program
T1279,Saskatchewan Mineral Exploration Tax Credit
5005-S10,Schedule 10 - Employment Insurance (EI) and Provincial Parental Insurance Plan (PPIP) Premiums (for Quebec and non-residents of Canada only)
5005-S11,"Schedule 11 - Federal Tuition, Education, and Textbook Amounts and Canada Training Credit (for Quebec and non-residents of Canada only)"
5000-S11,"Schedule 11 - Federal Tuition, Education, and Textbook Amounts and Canada Training Credit - T1 General (for all except QC and non-residents)"
5000-S13,Schedule 13 - Employment Insurance Premiums on Self-Employment and Other Eligible Earnings (for all)
5000-S15,"Schedule 15 - FHSA Contributions, Transfers and Activities (for all)"
5000-S2,Schedule 2 - Federal Amounts Transferred from your Spouse or Common-Law Partner (for all except QC and non-residents)
5005-S2,Schedule 2 - Federal Amounts Transferred from your Spouse or Common-Law Partner (for QC and non-residents only)
5000-S5,Schedule 5 - Amounts for Spouse or Common-Law Partner and Dependants (for all)
5009-S6,Schedule 6 - Canada Workers Benefit (for AB only)
5014-S6,Schedule 6 - Canada Workers Benefit (for NU only)
5005-S6,Schedule 6 - Canada Workers Benefit (for QC only)
5000-S6,"Schedule 6 - Canada Workers Benefit (for all except QC, AB, and NU)"
5000-S8,Schedule 8 - Canada Pension Plan Contributions and Overpayment (for all except QC)
5005-S8,Schedule 8 - Quebec Pension Plan Contributions (for QC only)
5000-S9,Schedule 9 - Donations and Gifts (for all)
5013-SA,Schedule A - Statement of World Income (for non-residents and deemed residents of Canada)
5009-S11,Schedule AB(S11) - Alberta Tuition and Education Amounts
5009-S2,Schedule AB(S2) - Provincial Amounts Transferred from your Spouse or Common-Law Partner - Alberta
5013-SB,Schedule B - Allowable Amount of Federal Non-Refundable Tax Credits (for non-residents of Canada)
T1234,"Schedule B, Allowable Amount of Federal and Provincial or Territorial Non-Refundable Tax Credits"
5010-S11,Schedule BC(S11) - British Columbia Tuition and Education Amounts
5010-S12,Schedule BC(S12) - British Columbia Home Renovation Tax Credit for Seniors and Persons with Disabilities
5010-S2,Schedule BC(S2) - Provincial Amounts Transferred from your Spouse or Common-Law Partner
5013-SC,Schedule C - Electing Under Section 217 of the Income Tax Act (for non-residents of Canada)
T1248,"Schedule D, Information about your Residency Status"
5007-S11,Schedule MB(S11) - Manitoba Tuition and Education Amounts
5007-S2,Schedule MB(S2) - Provincial Amounts Transferred from your Spouse or Common-Law Partner
5007-A,Schedule MB428–A - Manitoba Family Tax Benefit
5004-S11,Schedule NB(S11) - New Brunswick Tuition and Education Amounts
5004-S12,Schedule NB(S12) - New Brunswick Seniors' Home Renovation Tax Credit
5004-S2,Schedule NB(S2) - Provincial Amounts Transferred from your Spouse or Common-Law Partner - New Brunswick
5001-S11,Schedule NL(S11) - Newfoundland and Labrador Tuition and Education Amounts
5001-S2,Schedule NL(S2) - Provincial Amounts Transferred from your Spouse or Common-Law Partner - Newfoundland and Labrador
5003-S11,Schedule NS(S11) - Nova Scotia Tuition and Education Amounts
5003-S2,Schedule NS(S2) - Provincial Amounts Transferred from your Spouse or Common-Law Partner - Nova Scotia
5012-S11,Schedule NT(S11) - Northwest Territories Tuition and Education Amounts
5012-S2,Schedule NT(S2) - Territorial Amounts Transferred from your Spouse or Common-Law Partner - Northwest Territories
5014-S11,"Schedule NU(S11) - Nunavut Tuition, Education, and Textbook Amounts"
5014-S2,Schedule NU(S2) - Territorial Amounts Transferred from your Spouse or Common-Law Partner - Nunavut
5006-S11,Schedule ON(S11) - Ontario Tuition and Education Amounts
5006-S2,Schedule ON(S2) - Provincial Amounts Transferred from your Spouse or Common-Law Partner - Ontario
5006-A,Schedule ON428–A - Low-income Individuals and Families Tax (LIFT) Credit
5006-TCA,"Schedule ON479–A, Ontario Childcare Access and Relief from Expenses (CARE) Tax Credit"
5002-S11,Schedule PE(S11) - Prince Edward Island Tuition and Education Amounts
5002-S2,Schedule PE(S2) - Provincial Amounts Transferred from your Spouse or Common-Law Partner - Prince Edward Island
5008-S11,Schedule SK(S11) - Saskatchewan Tuition and Education Amounts
5008-S2,Schedule SK(S2) - Provincial Amounts Transferred from your Spouse or Common-Law Partner
5011-S11,"Schedule YT(S11) - Yukon Tuition, Education, and Textbook Amounts"
5011-S14,Schedule YT(S14) - Yukon Government Carbon Price Rebate
5011-S2,Schedule YT(S2) - Territorial Amounts Transferred from your Spouse or Common-Law Partner - Yukon
RC359,Tax on Excess Employees Profit Sharing Plan Amounts
RC383,Tax-Exempt Earned Income and Contributions for a Pooled Registered Pension Plan
5009-D,Worksheet AB428 - Alberta
5010-D,Worksheet BC428 - British Columbia
5007-D,Worksheet MB428 - Manitoba
5004-D,Worksheet NB428 - New Brunswick
5001-D,Worksheet NL428 - Newfoundland and Labrador
5003-D,Worksheet NS428 - Nova Scotia
5012-D,Worksheet NT428 - Northwest Territories
5014-D,Worksheet NU428 - Nunavut
5006-D,Worksheet ON428 - Ontario
5006-D1,Worksheet ON479 - Ontario
5002-D,Worksheet PE428 - Prince Edward Island
5008-D,Worksheet SK428 - Saskatchewan
5011-D,Worksheet YT428 - Yukon
5011-C,YT428 - Yukon Tax
5011-C1,YT432 - Yukon First Nations Tax
5011-TC,YT479 - Yukon Credits
T1232,Yukon Research and Development Tax Credit (Individuals)
T2214,Application for Registration as a Deferred Profit Sharing Plan
T2217,Application for Registration as a Registered Investment
RC236,Application for a TFSA (Tax-Free Savings Account) Identification Number
RC226,Application for a Tax-Free First Home Savings Account Identification Number
T1024,Election to Deem a Proportional Holding in a Qualified Trust Property
T3F,Investments Prescribed to be Qualified Information Return
T244,Registered Pension Plan Annual Information Return
RC154,Schedule of Required Information for the Canada Revenue Agency
T3SCH130,Excessive Interest and Financing Expenses Limitation
T1-OVP-ALDA,2024 Individual Tax Return for Excess Transfers to Purchase an ALDA
CPT13,Application for an Employer Resident Outside Canada to Cover Employment in Canada Under the Canada Pension Plan
T2SCH1,Net Income (Loss) for Income Tax Purposes
CPT8,Application and Undertaking to Cover Employment Outside Canada under the Canada Pension Plan
T2183,Information Return for Electronic Filing of Special Elections
CPT1,Request for a CPP/EI Ruling – Employee or Self-Employed?
RC325,Address change request
CPT17,Application to Certify a Religious Sect or a Division of it so Members can Apply to Exempt their Self-Employed Earnings from the Canada Pension Plan
CPT124,Application to Cover the Employment of an Indian in Canada under the Canada Pension Plan whose Income is Exempt under the Income Tax Act
GST17,Election Concerning the Provision of a Residence or Lodging at a Remote Work Site
GST22,Real Property - Election to Make Certain Sales Taxable
GST159,Notice of Objection (GST/HST)
T2060,Election for Disposition of Property Upon Cessation of a Canadian Partnership
RC45,"Notice of Objection (Softwood Lumber Products Export Charge Act, 2006)"
T3PFT,T3 Provincial or Territorial Foreign Tax Credit for Trusts
TX19,Asking for a Clearance Certificate
GST31,Application by a Public Service Body to Have Branches or Divisions Treated As Eligible Small Supplier Divisions
T2157,Direct Transfer from a Registered Plan to Purchase an ALDA
T2107,Election for a Disposition of Shares in a Foreign Affiliate
T2SCH54,Low Rate Income Pool (LRIP) Calculation
T137,Request for Destruction of Records
T4A-RCA,Statement of Distributions from a Retirement Compensation Arrangement (RCA)
T4A-RCA-SUM,Summary of Distributions from a Retirement Compensation Arrangement (RCA)
T1036,Home Buyers' Plan (HBP) - Request to Withdraw Funds from an RRSP
T3MJ,Provincial and Territorial Taxes – Multiple Jurisdictions
RC471,Home Buyers' Plan (HBP) - Cancellation
E413,Notice of Objection (Excise Tax Act)
T400A,Notice of Objection - Income Tax Act
E414,Notice of Objection - Purchaser
T3-RCA,Retirement Compensation Arrangement (RCA) Part XI.3 Tax Return
T185,Electronic Filing of a Pre-authorized Debit Agreement
T183,Information Return for Electronic Filing of an Individual's Income Tax and Benefit Return
T5SUM,Return of Investment Income
T5,Statement of Investment Income
T2SCH353,Nova Scotia Financial Institutions Capital Tax - Agreement Among Related Corporations (2021 and later tax years)
TD1MB,2025 Manitoba Personal Tax Credits Return
TD1NT,2025 Northwest Territories Personal Tax Credits Return
TD1NU,2025 Nunavut Personal Tax Credits Return
TD1ON,2025 Ontario Personal Tax Credits Return
TD1PE,2025 Prince Edward Island Personal Tax Credits Return
TD1SK,2025 Saskatchewan Personal Tax Credits Return
TD1MB-WS,Worksheet for the 2025 Manitoba Personal Tax Credits Return
TD1NT-WS,Worksheet for the 2025 Northwest Territories Personal Tax Credits Return
TD1NU-WS,Worksheet for the 2025 Nunavut Personal Tax Credits Return
TD1ON-WS,Worksheet for the 2025 Ontario Personal Tax Credits Return
TD1PE-WS,Worksheet for the 2025 Prince Edward Island Personal Tax Credits Return
TD1SK-WS,Worksheet for the 2025 Saskatchewan Personal Tax Credits Return
TD1,2025 Personal Tax Credits Return
TD1-WS,Worksheet for the 2025 Personal Tax Credits Return
TD1AB,2025 Alberta Personal Tax Credits Return
TD1BC,2025 British Columbia Personal Tax Credits Return
TD1NB,2025 New Brunswick Personal Tax Credits Return
TD1NL,2025 Newfoundland and Labrador Personal Tax Credits Return
TD1NS,2025 Nova Scotia Personal Tax Credits Return
TD1YT,2025 Yukon Personal Tax Credits Return
T3APP,Application for Trust Account Number
T1007,Connected Person Information Return
T1006,"Designating an RRSP, a PRPP or an SPP Withdrawal as a Qualifying Withdrawal"
TD1AB-WS,Worksheet for the 2025 Alberta Personal Tax Credits Return
TD1BC-WS,Worksheet for the 2025 British Columbia Personal Tax Credits Return
TD1NB-WS,Worksheet for the 2025 New Brunswick Personal Tax Credits Return
TD1NL-WS,Worksheet for the 2025 Newfoundland and Labrador Personal Tax Credits Return
TD1NS-WS,Worksheet for the 2025 Nova Scotia Personal Tax Credits Return
TD1YT-WS,Worksheet for the 2025 Yukon Personal Tax Credits Return
RC18,Calculating Automobile Benefits
T3,Statement of Trust Income Allocations and Designations
T3SUM,Summary of Trust Income Allocations and Designations
T2SCH78,"Carbon Capture, Utilization, and Storage Investment Tax Credit"
T5013SCH78,"Carbon Capture, Utilization, and Storage Investment Tax Credit"
RC521,Declaration of Tax Residence for Entities - Part XIX of the Income Tax Act
RC519,Declaration of Tax Residence for Entities - Part XVIII and Part XIX of the Income Tax Act
RC520,Declaration of Tax Residence for Individuals - Part XIX of the Income Tax Act
RC518,Declaration of Tax Residence for Individuals - Part XVIII and Part XIX of the Income Tax Act
T733,Application for a Retirement Compensation Arrangement (RCA) Account Number
T737-RCA,Statement of Contributions Paid to a Custodian of a Retirement Compensation Arrangement (RCA)
T5013SCH75,Clean Technology Investment Tax Credit
T183CORP,Information Return for Corporations Filing Electronically
E680,"Notice of Objection (Excise Act, 2001)"
RC644,Notice of Objection - Greenhouse Gas Pollution Pricing Act
PD27,10% Temporary Wage Subsidy Self-identification Form for Employers
T1004,Applying for the Certification of a Provisional PSPA
T5013SCH58,Canadian Journalism Labour Tax Credit
T5008SUM,Return of Securities Transactions
T4A,"Statement of Pension, Retirement, Annuity, and Other Income"
T5008,Statement of Securities Transactions
T1E-OVP,Individual Tax Return for RESP Excess Contributions
NR602,Non-Resident Ownership Certificate - No Withholding Tax
NR601,Non-Resident Ownership Certificate - Withholding Tax
T10,Pension Adjustment Reversal (PAR) or Pension Adjustment Correction (PAC)
T735,Application for a Remittance Number for Tax Withheld from a Retirement Compensation Arrangement (RCA)
T2SCH75,Clean Technology Investment Tax Credit
T1135,Foreign Income Verification Statement
GST495,Rebate Application for Provincial Part of Harmonized Sales Tax (HST)
RC376,Taxpayer Relief Request - Statement of Income and Expenses and Assets and Liabilities for Individuals
RC298,"Advantage Tax Return for RRSP, TFSA, FHSA, or RDSP issuers, RESP promoters or RRIF carriers"
T2152-SCH1,Calculating Tax Under Subsection 204.82(2)
T2152-SCH2,Calculating Tax Under Subsection 204.82(3) and (6) and Section 204.841
T2152A,Part X.3 Tax Return and Request for a Refund for a Labour-Sponsored Venture Capital Corporation
T2152,Part X.3 Tax Return for A Labour-Sponsored Venture Capital Corporation
T1149,Remittance Form for Labour-Sponsored Funds Tax Credits Withheld on Redeemed Shares
T1172,Additional Tax on Accumulated Income Payments from RESPs
T1171,Tax Withholding Waiver on Accumulated Income Payments from RESPs
T2SCH58,Canadian Journalism Labour Tax Credit (2023 and later tax years)
T215,Past Service Pension Adjustment (PSPA) Exempt from Certification or Permitted Corrective Contribution (PCC)
T215SUM,Summary of Past Service Pension Adjustments (PSPAs) Exempt from Certification or Permitted Corrective Contributions (PCCs)
T10SEG,T10 Segment
T215SEG,T215 Segment
T1204SUM,Government Service Contract Payments - Summary
RC339,"Individual Return for Certain Taxes for RRSPs, RRIFs, RESPs or RDSPs"
RC4288,Request for Taxpayer Relief - Cancel or Waive Penalties and Interest
T2SCH31,Investment Tax Credit - Corporations
T4PSSUM,Employees Profit Sharing Plan Allocations and Payments
T4ASUM,"Summary of Pension, Retirement, Annuity, and Other income"
T4SUM,Summary of Remuneration Paid
T4PS,Statement of Employee Profit-Sharing Plan Allocations and Payments
TL11D,Tuition Fees Certificate - Educational Institutions Outside Canada for a Deemed Resident of Canada
T2202,Tuition and Enrolment Certificate
TL11C,Tuition and Enrolment Certificate - Commuter to the United States
TL11A,Tuition and Enrolment Certificate - University Outside Canada
TD3F,Fisher's Election to Have Tax Deducted at Source
RC193,Service Feedback
T4A-NR,"Statement of Fees, Commissions, or Other Amounts Paid to Non-Residents for Services Rendered in Canada"
T4A-NR-SUM,"Summary of Fees, Commissions, or Other Amounts Paid to Non-Residents for Services Rendered in Canada"
B400-8,Fuel Charge Return Schedule - Registered Marine Carrier
B400-10,Fuel Charge Return Schedule - Registered Rail Carrier
B400-9,Fuel Charge Return Schedule - Registered Specified Marine Carrier
B400-11,Fuel Charge Return Schedule - Registered Specified Rail Carrier
RC7524-NL,GST524 Newfoundland and Labrador Rebate Schedule
NR77-1,Non-Resident Tax Information Request
NR79-1,Non-resident Tax Discrepancy Notice
T4RIF,Statement of Income From a Registered Retirement Income Fund
T4RSP,Statement of RRSP Income
T4RIFSUM,T4RIF Summary
T4RSPSUM,T4RSP Summary
RC76,Application and Agreement to Obtain a Discounter Code / Discounter Direct Deposit Enrolment
RC72,Notice of the Actual Amount of the Refund of Tax
RC71,Statement of Discounting Transaction
PD24,Application for a Refund of Overdeducted CPP Contributions or EI Premiums
RC96,Lifelong Learning Plan (LLP) Request to Withdraw Funds from an RRSP
RC97,Lifelong Learning Plan (LLP) – Cancellation
RC2503,"Request for Waiver or Cancellation of Part X.1 Tax - RRSP, PRPP and SPP Excess Contribution Tax"
RC4625,Rollover to a Registered Disability Savings Plan (RDSP) Under Paragraph 60(m)
T5018,Statement of Contract Payments
T5018SUM,Summary of Contract Payments
T5007,Statement of Benefits
NR4OAS,Statement of Old Age Security Pension Paid or Credited to Non-Residents of Canada
T5007SUM,Summary of Benefits
T5001,Application for Tax Shelter Identification Number and Undertaking to Keep Books and Records
T5004,Claim for Tax Shelter Loss or Deduction
RC98,Election to transfer the Home Buyers' Plan (HBP) or Lifelong Learning Plan (LLP) balance at time of death
T5003,Statement of Tax Shelter Information
T5003SUM,Tax Shelter Information Return
T183TRUST,Information Return for the electronic filing of a Trust Return
T4E,Statement of Employment Insurance and Other Benefits
T4EQ,Statement of Employment Insurance and Other Benefits (Quebec)
RC234,Election or Revocation of an Election to Allow a Dealer to Claim Refunds of Federal Excise Tax on Goods Purchased or Imported by a Province
CPT30,"Election to Stop Contributing to the Canada Pension Plan, or Revocation of a Prior Election"
RC230,Federal Excise Tax Exemption Certificate for Goods Purchased by a Province
TD1-IN,Determination of Exemption of an Indian's Employment Income
T1204,Government Service Contract Payments
T1213OAS,Request to Reduce Old Age Security Recovery Tax at Source
T1213,Request to Reduce Tax Deductions at Source
TD1X,Statement of Commission Income and Expenses for Payroll Tax Deductions
T2019,Death of an RRSP Annuitant - Refund of Premiums
T2078,Election Under Subsection 147(10.1) for a Single Payment Received from a Deferred Profit Sharing Plan
